"Period";"Line";"Leading product";"Product";"Package text long";"Volume";"Value";"Dli ddd";"Organisation";"District";"Brick"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 40 mikrogram 4x0,4 ml(m.saf.dev.) AMGEN, Danmark 057171";"5";"12.476,80";"177,780";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 40 mikrogram 4x0,4 ml(m.saf.dev.) AMGEN, Danmark 057171";"36";"89.832,96";"1.280,016";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 40 mikrogram 4x0,4 ml(m.saf.dev.) AMGEN, Danmark 057171";"10";"24.953,60";"355,560";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 50 mikrogram 4x0,5ml(m.saf.dev.) AMGEN, Danmark 057194";"5";"15.595,75";"222,220";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 50 mikrogram 4x0,5ml(m.saf.dev.) AMGEN, Danmark 057194";"6";"18.714,90";"266,664";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 50 mikrogram 4x0,5ml(m.saf.dev.) AMGEN, Danmark 057194";"8";"24.953,20";"355,552";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 50 mikrogram 4x0,5ml(m.saf.dev.) AMGEN, Danmark 057194";"20";"62.383,00";"888,880";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 60 mikrogram 4x0,3 ml(m.saf.dev.) AMGEN, Danmark 057217";"10";"37.430,20";"533,330";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 80 mikrogram 4 x 0,4 ml AMGEN, Danmark 057239";"5";"24.953,40";"355,555";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 80 mikrogram 4 x 0,4 ml AMGEN, Danmark 057239";"3";"14.972,04";"213,333";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 80 mikrogram 4 x 0,4 ml AMGEN, Danmark 057239";"10";"49.906,80";"711,110";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 100 mikrogram 4 x 0,5 ml AMGEN, Danmark 057262";"5";"31.191,80";"444,445";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 100 mikrogram 4 x 0,5 ml AMGEN, Danmark 057262";"1";"6.238,36";"88,889";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 100 mikrogram 4 x 0,5 ml AMGEN, Danmark 057262";"25";"155.959,00";"2.222,225";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 130 mikrogram 4x0,65ml(m.saf.dev.) AMGEN, Danmark 057285";"1";"8.109,88";"115,556";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 150 mikrogram 4 x 0,3 ml AMGEN, Danmark 057308";"20";"187.151,40";"2.666,660";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 150 mikrogram 4 x 0,3 ml AMGEN, Danmark 057308";"24";"224.581,68";"3.199,992";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 300 mikrogram 1x0,6 ml(m.saf.dev.) AMGEN, Danmark 057319";"25";"116.969,00";"1.666,675";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 300 mikrogram 1x0,6 ml(m.saf.dev.) AMGEN, Danmark 057319";"10";"46.787,60";"666,670";"Amgen regioner";"Region Syddanmark";"315 Vejle"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 300 mikrogram 1x0,6 ml(m.saf.dev.) AMGEN, Danmark 057319";"30";"140.362,80";"2.000,010";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 500 mikrogram 1ml(m.saf.dev.) AMGEN, Danmark 057341";"6";"46.787,58";"666,666";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 500 mikrogram 1ml(m.saf.dev.) AMGEN, Danmark 057341";"20";"155.958,60";"2.222,220";"Amgen regioner";"Region Syddanmark";"315 Vejle"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 500 mikrogram 1ml(m.saf.dev.) AMGEN, Danmark 057341";"10";"77.979,30";"1.111,110";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 500 mikrogram 1ml(m.saf.dev.) AMGEN, Danmark 057341";"40";"311.917,20";"4.444,440";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp inj.væske, opl., pen 150 mikrogram 0,3 ml AMGEN, Danmark 091919";"60";"140.362,20";"1.999,980";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp inj.væske, opl., pen 150 mikrogram 0,3 ml AMGEN, Danmark 091919";"40";"93.574,80";"1.333,320";"Amgen regioner";"Region Sjælland";"202 Roskilde"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp inj.væske, opl., pen 150 mikrogram 0,3 ml AMGEN, Danmark 091919";"10";"23.393,70";"333,330";"Amgen regioner";"Region Sjælland";"206 Næstved"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp inj.væske, opl., pen 300 mikrogram 0,6 ml AMGEN, Danmark 155908";"100";"467.876,00";"6.666,700";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp inj.væske, opl., pen 300 mikrogram 0,6 ml AMGEN, Danmark 155908";"30";"140.362,80";"2.000,010";"Amgen regioner";"Region Sjælland";"202 Roskilde"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp inj.væske, opl., pen 300 mikrogram 0,6 ml AMGEN, Danmark 155908";"10";"46.787,60";"666,670";"Amgen regioner";"Region Syddanmark";"313 Esbjerg"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp inj.væske, opl., pen 300 mikrogram 0,6 ml AMGEN, Danmark 155908";"40";"187.150,40";"2.666,680";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"Mimpara";"Mimpara";"Mimpara Filmovertrukne tabl. 60 mg 28 stk. (2 x 14) (blister) AMGEN, Danmark 016791";"10";"25.281,30";"280,000";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Mimpara";"Mimpara";"Mimpara Filmovertrukne tabl. 90 mg 28 stk. (2 x 14) (blister) AMGEN, Danmark 016802";"2";"7.584,38";"84,000";"Amgen regioner";"Region Sjælland";"206 Næstved"
"03-08-2020";"AMGEN, Danmark";"Mimpara";"Mimpara";"Mimpara Filmovertrukne tabl. 30 mg 28 stk. (2 x 14) (blister) AMGEN, Danmark 016868";"150";"205.410,00";"2.100,000";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
"03-08-2020";"AMGEN, Danmark";"Repatha";"Repatha";"Repatha inj.væske, opl., pen 140 mg 6 stk. AMGEN, Danmark 553814";"6";"58.117,92";"36,000";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
"03-08-2020";"AMGEN, Danmark";"Repatha";"Repatha";"Repatha inj.væske, opl., pen 140 mg 6 stk. AMGEN, Danmark 553814";"5";"48.431,60";"30,000";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"AMGEVITA";"AMGEVITA";"AMGEVITA inj.væske, opl., pen 40 mg 2 stk. AMGEN, Danmark 155045";"40";"195.722,80";"1.103,440";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
"03-08-2020";"AMGEN, Danmark";"AMGEVITA";"AMGEVITA";"AMGEVITA inj.væske, opl., pen 40 mg 2 stk. AMGEN, Danmark 155045";"3";"14.679,21";"82,758";"Amgen regioner";"Region Sjælland";"206 Næstved"
"03-08-2020";"AMGEN, Danmark";"AMGEVITA";"AMGEVITA";"AMGEVITA inj.væske, opl., pen 40 mg 2 stk. AMGEN, Danmark 155045";"20";"97.861,40";"551,720";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"AMGEVITA";"AMGEVITA";"AMGEVITA inj.væske, opl., pen 40 mg 2 stk. AMGEN, Danmark 155045";"30";"146.792,10";"827,580";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"AMGEVITA";"AMGEVITA";"AMGEVITA Inj.vsk,opl.,sprøjte 40 mg 2 stk. AMGEN, Danmark 169691";"10";"48.930,70";"275,860";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
"03-08-2020";"AMGEN, Danmark";"AMGEVITA";"AMGEVITA";"AMGEVITA Inj.vsk,opl.,sprøjte 40 mg 2 stk. AMGEN, Danmark 169691";"3";"14.679,21";"82,758";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Kyprolis";"Kyprolis";"Kyprolis Pulv.t.inf.væske,opl 30 mg 1 stk. AMGEN, Danmark 090435";"6";"25.970,64";"6,000";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"Kyprolis";"Kyprolis";"Kyprolis Pulv.t.inf.væske,opl 60 mg 1 stk. AMGEN, Danmark 534401";"10";"86.568,90";"10,000";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Kyprolis";"Kyprolis";"Kyprolis Pulv.t.inf.væske,opl 60 mg 1 stk. AMGEN, Danmark 534401";"16";"138.510,24";"16,000";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"Kyprolis";"Kyprolis";"Kyprolis Pulv.t.inf.væske,opl 60 mg 1 stk. AMGEN, Danmark 534401";"3";"25.970,67";"3,000";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Kyprolis";"Kyprolis";"Kyprolis Pulv.t.inf.væske,opl 10 mg 1 stk. AMGEN, Danmark 542915";"4";"5.771,24";"4,000";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"Neupogen";"Neupogen";"Neupogen Inj.væske, opløsning 0,3 mg/ml 5 htgl. a 1 ml AMGEN, Danmark 167130";"5";"13.813,60";"21,430";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Parsabiv";"Parsabiv";"Parsabiv Inj.væske, opløsning 2,5 mg 6 stk. AMGEN, Danmark 435162";"1";"609,52";"7,143";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"Parsabiv";"Parsabiv";"Parsabiv Inj.væske, opløsning 2,5 mg 6 stk. AMGEN, Danmark 435162";"2";"1.219,04";"14,286";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Parsabiv";"Parsabiv";"Parsabiv Inj.væske, opløsning 5 mg 6 stk. AMGEN, Danmark 491810";"15";"18.286,20";"214,290";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Parsabiv";"Parsabiv";"Parsabiv Inj.væske, opløsning 5 mg 6 stk. AMGEN, Danmark 491810";"2";"2.438,16";"28,572";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"AMGEN, Danmark";"Vectibix";"Vectibix";"Vectibix Konc.t.inf.væsk.opl. 20 mg/ml 20 ml AMGEN, Danmark 112725";"15";"171.635,10";"0,000";"Amgen regioner";"Region Syddanmark";"315 Vejle"
"03-08-2020";"AMGEN, Danmark";"Vectibix";"Vectibix";"Vectibix Konc.t.inf.væsk.opl. 20 mg/ml 5 ml AMGEN, Danmark 483104";"10";"28.605,40";"0,000";"Amgen regioner";"Region Syddanmark";"315 Vejle"
"03-08-2020";"AMGEN, Danmark";"Vectibix";"Vectibix";"Vectibix Konc.t.inf.væsk.opl. 20 mg/ml 5 ml AMGEN, Danmark 483104";"10";"28.605,40";"0,000";"Amgen regioner";"Regions Midtjylland";"403 Århus City"
"03-08-2020";"Otezla";"Otezla";"Otezla";"Otezla Filmovertrukne tabl. 30 mg 56 stk. (blister) AMGEN, Danmark 139604";"6";"31.973,04";"168,000";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
