"Period";"Line";"Leading product";"Product";"Package text long";"Volume";"Value";"Dli ddd";"Organisation";"District";"Brick"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"1";"1.814,46";"181,818";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. AMGEN, Danmark 085792";"1";"1.814,46";"181,818";"Amgen regioner";"Region Nordjylland";"505 Fjerritslev"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (2care4) 2care4 419605";"2";"3.530,94";"363,636";"Amgen regioner";"Region Hovedstaden";"102 Amager"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (2care4) 2care4 419605";"1";"1.765,47";"181,818";"Amgen regioner";"Region Hovedstaden";"105 Frederiksberg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (2care4) 2care4 419605";"1";"1.765,47";"181,818";"Amgen regioner";"Region Nordjylland";"503 Hobro"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"4";"7.014,44";"727,272";"Amgen regioner";"Region Hovedstaden";"109 Gentofte"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"2";"3.507,22";"363,636";"Amgen regioner";"Region Hovedstaden";"110 Kgs. Lyngby"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"1";"1.753,61";"181,818";"Amgen regioner";"Region Hovedstaden";"112 Hørsholm"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"1";"1.753,61";"181,818";"Amgen regioner";"Region Hovedstaden";"114 Frederikssund"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"1";"1.753,61";"181,818";"Amgen regioner";"Region Syddanmark";"303 Assens"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"1";"1.753,61";"181,818";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"1";"1.753,61";"181,818";"Amgen regioner";"Region Syddanmark";"307 Sønderborg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"1";"1.753,61";"181,818";"Amgen regioner";"Region Syddanmark";"308 Aabenraa"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"2";"3.507,22";"363,636";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"1";"1.753,61";"181,818";"Amgen regioner";"Regions Midtjylland";"406 Herning"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"4";"7.014,44";"727,272";"Amgen regioner";"Regions Midtjylland";"408 Holstebro"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"2";"3.507,22";"363,636";"Amgen regioner";"Regions Midtjylland";"409 Skive"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"5";"8.768,05";"909,090";"Amgen regioner";"Regions Midtjylland";"411 Randers"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"1";"1.753,61";"181,818";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Orifarm) Orifarm A/S 434534";"4";"7.014,44";"727,272";"Amgen regioner";"Region Nordjylland";"508 Frederikshavn"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"2";"3.444,64";"363,636";"Amgen regioner";"Region Hovedstaden";"101 Bornholm"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"1";"1.722,32";"181,818";"Amgen regioner";"Region Hovedstaden";"102 Amager"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"3";"5.166,96";"545,454";"Amgen regioner";"Region Hovedstaden";"104 Vesterbro/Christianshavn"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"4";"6.889,28";"727,272";"Amgen regioner";"Region Hovedstaden";"105 Frederiksberg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"1";"1.722,32";"181,818";"Amgen regioner";"Region Hovedstaden";"106 Glostrup"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"1";"1.722,32";"181,818";"Amgen regioner";"Region Hovedstaden";"107 Kbh. NV"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"3";"5.166,96";"545,454";"Amgen regioner";"Region Hovedstaden";"108 Kbh. Ø."
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"2";"3.444,64";"363,636";"Amgen regioner";"Region Hovedstaden";"109 Gentofte"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"2";"3.444,64";"363,636";"Amgen regioner";"Region Hovedstaden";"110 Kgs. Lyngby"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"4";"6.889,28";"727,272";"Amgen regioner";"Region Hovedstaden";"111 Hillerød"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"5";"8.611,60";"909,090";"Amgen regioner";"Region Hovedstaden";"112 Hørsholm"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"2";"3.444,64";"363,636";"Amgen regioner";"Region Hovedstaden";"113 Helsingør"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"10";"17.223,20";"1.818,180";"Amgen regioner";"Region Hovedstaden";"114 Frederikssund"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"7";"12.056,24";"1.272,726";"Amgen regioner";"Region Hovedstaden";"115 Ballerup"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"8";"13.778,56";"1.454,544";"Amgen regioner";"Region Sjælland";"202 Roskilde"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"10";"17.223,20";"1.818,180";"Amgen regioner";"Region Sjælland";"203 Kalundborg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"2";"3.444,64";"363,636";"Amgen regioner";"Region Sjælland";"204 Slagelse"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"1";"1.722,32";"181,818";"Amgen regioner";"Region Sjælland";"205 Ringsted"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"7";"12.056,24";"1.272,726";"Amgen regioner";"Region Sjælland";"206 Næstved"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"5";"8.611,60";"909,090";"Amgen regioner";"Region Sjælland";"207 Vordingborg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"4";"6.889,28";"727,272";"Amgen regioner";"Region Sjælland";"208 Falster"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"5";"8.611,60";"909,090";"Amgen regioner";"Region Syddanmark";"301 Svendborg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"2";"3.444,64";"363,636";"Amgen regioner";"Region Syddanmark";"302 Nyborg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"11";"18.945,52";"1.999,998";"Amgen regioner";"Region Syddanmark";"304 Ydre Odense"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"3";"5.166,96";"545,454";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"4";"6.889,28";"727,272";"Amgen regioner";"Region Syddanmark";"306 Middelfart"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"3";"5.166,96";"545,454";"Amgen regioner";"Region Syddanmark";"307 Sønderborg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"1";"1.722,32";"181,818";"Amgen regioner";"Region Syddanmark";"308 Aabenraa"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"2";"3.444,64";"363,636";"Amgen regioner";"Region Syddanmark";"309 Tønder"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"2";"3.444,64";"363,636";"Amgen regioner";"Region Syddanmark";"310 Ribe"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"4";"6.889,28";"727,272";"Amgen regioner";"Region Syddanmark";"311 Haderslev"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"7";"12.056,24";"1.272,726";"Amgen regioner";"Region Syddanmark";"312 Kolding"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"3";"5.166,96";"545,454";"Amgen regioner";"Region Syddanmark";"313 Esbjerg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"5";"8.611,60";"909,090";"Amgen regioner";"Region Syddanmark";"314 Varde"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"7";"12.056,24";"1.272,726";"Amgen regioner";"Region Syddanmark";"315 Vejle"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"2";"3.444,64";"363,636";"Amgen regioner";"Regions Midtjylland";"401 Hedensted"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"6";"10.333,92";"1.090,908";"Amgen regioner";"Regions Midtjylland";"402 Horsens"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"8";"13.778,56";"1.454,544";"Amgen regioner";"Regions Midtjylland";"404 Ydre Århus"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"4";"6.889,28";"727,272";"Amgen regioner";"Regions Midtjylland";"405 Silkeborg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"9";"15.500,88";"1.636,362";"Amgen regioner";"Regions Midtjylland";"406 Herning"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"11";"18.945,52";"1.999,998";"Amgen regioner";"Regions Midtjylland";"407 Ringkøbing"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"3";"5.166,96";"545,454";"Amgen regioner";"Regions Midtjylland";"408 Holstebro"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"2";"3.444,64";"363,636";"Amgen regioner";"Regions Midtjylland";"409 Skive"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"10";"17.223,20";"1.818,180";"Amgen regioner";"Regions Midtjylland";"410 Viborg"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"7";"12.056,24";"1.272,726";"Amgen regioner";"Regions Midtjylland";"411 Randers"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"6";"10.333,92";"1.090,908";"Amgen regioner";"Regions Midtjylland";"412 Ebeltoft"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"22";"37.891,04";"3.999,996";"Amgen regioner";"Region Nordjylland";"501 Hadsund"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"12";"20.667,84";"2.181,816";"Amgen regioner";"Region Nordjylland";"502 Aalborg City"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"13";"22.390,16";"2.363,634";"Amgen regioner";"Region Nordjylland";"503 Hobro"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"2";"3.444,64";"363,636";"Amgen regioner";"Region Nordjylland";"504 Thisted"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"7";"12.056,24";"1.272,726";"Amgen regioner";"Region Nordjylland";"505 Fjerritslev"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"15";"25.834,80";"2.727,270";"Amgen regioner";"Region Nordjylland";"506 Nørresundby"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"12";"20.667,84";"2.181,816";"Amgen regioner";"Region Nordjylland";"507 Hjørring"
"03-08-2020";"AMGEN, Danmark";"Prolia";"Prolia";"Prolia Inj.væske, opløsning 60 mg/ml 1 stk. (Abacus) Abacus 464168";"8";"13.778,56";"1.454,544";"Amgen regioner";"Region Nordjylland";"508 Frederikshavn"
"03-08-2020";"AMGEN, Danmark";"Aranesp";"Aranesp";"Aranesp Inj.vsk,opl.,sprøjte 100 mikrogram 4 x 0,5 ml AMGEN, Danmark 057262";"3";"18.715,08";"266,667";"Amgen regioner";"Regions Midtjylland";"406 Herning"
"03-08-2020";"AMGEN, Danmark";"Mimpara";"Mimpara";"Mimpara Filmovertrukne tabl. 30 mg 28 stk. (2 x 14) (blister) AMGEN, Danmark 016868";"3";"4.108,20";"42,000";"Amgen regioner";"Region Hovedstaden";"106 Glostrup"
"03-08-2020";"AMGEN, Danmark";"Mimpara";"Mimpara";"Mimpara Filmovertrukne tabl. 30 mg 28 stk. (2 x 14) (blister) AMGEN, Danmark 016868";"4";"5.477,60";"56,000";"Amgen regioner";"Region Hovedstaden";"108 Kbh. Ø."
"03-08-2020";"AMGEN, Danmark";"Mimpara";"Mimpara";"Mimpara Filmovertrukne tabl. 30 mg 28 stk. (2 x 14) (blister) AMGEN, Danmark 016868";"3";"4.108,20";"42,000";"Amgen regioner";"Region Syddanmark";"313 Esbjerg"
"03-08-2020";"AMGEN, Danmark";"Mimpara";"Mimpara";"Mimpara Filmovertrukne tabl. 30 mg 28 stk. (blister)(Orifarm) Orifarm A/S 189463";"-1";"-1.032,94";"-14,000";"Amgen regioner";"Region Hovedstaden";"107 Kbh. NV"
"03-08-2020";"AMGEN, Danmark";"Mimpara";"Mimpara";"Mimpara Filmovertrukne tabl. 30 mg 28 stk. (blister)(Orifarm) Orifarm A/S 189463";"-2";"-2.065,88";"-28,000";"Amgen regioner";"Region Hovedstaden";"110 Kgs. Lyngby"
"03-08-2020";"AMGEN, Danmark";"Mimpara";"Mimpara";"Mimpara Filmovertrukne tabl. 30 mg 28 stk. (blister)(Orifarm) Orifarm A/S 189463";"-2";"-2.065,88";"-28,000";"Amgen regioner";"Region Syddanmark";"305 Odense City"
"03-08-2020";"AMGEN, Danmark";"Mimpara";"Mimpara";"Mimpara Filmovertrukne tabl. 30 mg 28 stk. (blister)(Orifarm) Orifarm A/S 189463";"-2";"-2.065,88";"-28,000";"Amgen regioner";"Region Syddanmark";"308 Aabenraa"
"03-08-2020";"AMGEN, Danmark";"Mimpara";"Mimpara";"Mimpara Filmovertrukne tabl. 30 mg 28 stk. (blister) (Abacus) Abacus 504015";"1";"1.370,29";"14,000";"Amgen regioner";"Region Hovedstaden";"112 Hørsholm"
"03-08-2020";"AMGEN, Danmark";"Mimpara";"Mimpara";"Mimpara Filmovertrukne tabl. 60 mg 28 stk. (blister)(Orifarm) Orifarm A/S 591333";"-1";"-884,65";"-28,000";"Amgen regioner";"Region Hovedstaden";"107 Kbh. NV"
